corrected_time_s,distance_m
2782.91,16
2782.951,16
2782.992,5
2783.032,5
2783.073,5
2783.113,7
2783.153,7
2783.194,7
2783.234,5
2783.274,6
2783.315,5
2783.355,5
2783.395,9
2783.442,95
2783.483,9
2783.524,6
2783.564,8
2783.605,9
2783.646,5
2783.686,4
2783.726,4
2783.767,5
2783.807,5
2783.848,16
2783.889,6
2783.929,6
2783.969,6
2784.01,6
2784.051,16
2784.092,17
2784.133,17
2784.174,10
2784.215,10
2784.256,6
2784.297,5
2784.337,5
2784.377,4
2784.418,6
2784.458,5
2784.498,5
2784.539,5
2784.579,5
2784.619,5
2784.66,5
2784.7,3
2784.74,4
2784.78,3
2784.821,4
2784.861,4
2784.901,4
2784.942,4
2784.982,4
2785.022,3
2785.063,3
2785.103,3
2785.143,3
2785.184,4
2785.224,4
2785.264,4
2785.305,4
2785.345,5
2785.385,4
2785.426,4
2785.515,5
2785.555,4
2785.595,4
2785.636,6
2785.676,5
2785.717,5
2785.757,6
2785.797,6
2785.838,6
2785.878,6
2785.918,6
2785.958,6
2785.999,5
2786.039,5
2786.079,5
2786.12,5
2786.16,6
2786.2,6
2786.241,16
2786.283,16
2786.324,16
2786.365,22
2786.406,10
2786.447,6
2786.488,17
2786.529,6
2786.569,5
2786.611,38
2786.652,6
2786.692,7
2786.734,43
2786.776,16
2786.817,6
2786.857,9
2786.898,9
2786.94,9
2787.028,9
2787.115,9
2787.202,9
2787.244,16
2787.331,16
2787.372,16
2787.413,5
2787.453,10
2787.541,10
2787.582,16
2787.624,16
2787.665,16
2787.706,5
2787.746,5
2787.786,4
2787.827,5
2787.867,5
2787.908,17
2787.949,6
2787.989,5
2788.029,5
2788.069,5
2788.11,7
2788.15,7
2788.19,6
2788.231,6
2788.271,10
2788.313,9
2788.354,6
2788.394,5
2788.481,5
2788.568,5
2788.61,16
2788.651,16
2788.692,16
2788.733,17
2788.775,16
2788.816,11
2788.857,9
2788.911,230
2788.965,232
2789.006,6
2789.046,9
2789.087,9
2789.141,230
2789.182,9
2789.224,9
2789.265,9
2789.306,8
2789.347,16
2789.434,16
2789.522,16
2789.563,16
2789.604,16
2789.645,16
2789.733,16
2789.774,18
2789.815,18
2789.857,16
2789.898,16
2789.939,17
2789.981,18
2790.068,18
2790.155,18
2790.244,16
2790.286,16
2790.327,16
2790.368,16
2790.41,16
2790.497,16
2790.538,16
2790.579,16
2790.62,8
2790.661,6
2790.701,6
2790.754,231
2790.795,6
2790.836,16
2790.877,14
2790.918,12
2790.959,9
2791.001,10
2791.042,9
2791.083,6
2791.123,7
2791.164,9
2791.205,7
2791.245,7
2791.286,9
2791.373,9
2791.415,19
2791.456,9
2791.497,10
2791.539,17
2791.579,10
2791.62,5
2791.661,6
2791.701,7
2791.788,7
2791.829,9
2791.871,18
2791.912,20
2791.954,22
2791.994,9
2792.037,43
2792.079,16
2792.12,12
2792.161,6
2792.248,6
2792.29,21
2792.331,22
2792.372,16
2792.413,14
2792.454,10
2792.496,16
2792.537,14
2792.578,16
2792.619,5
2792.659,5
2792.7,16
2792.788,16
2792.828,8
2792.869,7
2792.909,9
2792.95,7
2792.991,9
2793.032,8
2793.073,16
2793.16,16
2793.201,6
2793.241,8
2793.282,11
2793.323,16
2793.364,8
2793.404,6
2793.445,8
2793.485,9
2793.526,9
2793.568,12
2793.653,12
2793.693,9
2793.735,9
2793.822,9
2793.864,18
2793.951,18
2793.992,10
2794.033,8
2794.073,8
2794.114,10
2794.155,9
2794.196,5
2794.263,467
2794.305,22
2794.345,3
2794.396,182
2794.436,2
2794.476,2
2794.517,2
2794.557,2
2794.597,2
2794.638,2
2794.678,2
2794.718,2
2794.759,2
2794.847,2
2794.887,2
2794.928,2
2794.968,2
2795.008,2
2795.048,2
2795.089,2
2795.129,2
2795.169,2
2795.21,2
2795.25,2
2795.303,227
2795.357,227
2795.398,5
2795.438,5
2795.479,5
2795.519,5
2795.559,6
2795.6,9
2795.641,9
2795.682,9
2795.724,5
