time_seconds,ultrawide_depth_m,vehicles_in_frame,people_in_frame,bicycles_in_frame
979.166,226,0.0,0.0,0.0
979.22,226,0.0,0.0,0.0
979.274,226,0.0,0.0,0.0
979.3280000000001,226,0.0,0.0,0.0
979.3810000000001,225,0.0,0.0,0.0
979.4350000000001,225,0.0,0.0,0.0
979.489,225,0.0,0.0,0.0
979.543,226,0.0,0.0,0.0
979.5970000000001,226,0.0,0.0,0.0
979.6500000000001,225,0.0,0.0,0.0
979.7040000000001,225,0.0,0.0,0.0
979.758,226,0.0,0.0,0.0
979.812,225,0.0,0.0,0.0
979.865,226,0.0,0.0,0.0
979.9190000000001,225,0.0,0.0,0.0
979.9730000000001,225,0.0,0.0,0.0
980.027,226,0.0,0.0,0.0
980.08,226,0.0,0.0,0.0
980.134,225,0.0,0.0,0.0
980.1880000000001,225,0.0,0.0,0.0
980.2420000000001,226,0.0,0.0,0.0
980.2950000000001,226,0.0,0.0,0.0
980.349,226,0.0,0.0,0.0
980.403,226,0.0,0.0,0.0
980.457,226,0.0,0.0,0.0
980.51,226,0.0,0.0,0.0
980.5640000000001,226,0.0,0.0,0.0
980.618,225,0.0,0.0,0.0
980.672,226,0.0,0.0,0.0
980.726,226,0.0,0.0,0.0
980.779,226,0.0,0.0,0.0
980.8330000000001,226,0.0,0.0,0.0
980.8870000000001,226,0.0,0.0,0.0
980.941,225,0.0,0.0,0.0
980.994,225,0.0,0.0,0.0
981.048,226,0.0,0.0,0.0
981.1020000000001,225,0.0,0.0,0.0
981.1560000000001,226,0.0,0.0,0.0
981.2090000000001,226,0.0,0.0,0.0
981.263,226,0.0,0.0,0.0
981.317,227,0.0,0.0,0.0
981.3710000000001,226,0.0,0.0,0.0
981.4240000000001,226,0.0,0.0,0.0
981.4780000000001,226,0.0,0.0,0.0
981.532,226,0.0,0.0,0.0
981.586,226,0.0,0.0,0.0
981.639,225,0.0,0.0,0.0
981.6930000000001,226,0.0,0.0,0.0
981.7470000000001,226,0.0,0.0,0.0
981.801,225,0.0,0.0,0.0
981.854,226,0.0,0.0,0.0
981.908,226,0.0,0.0,0.0
981.962,226,0.0,0.0,0.0
982.0160000000001,226,0.0,0.0,0.0
982.0690000000001,225,0.0,0.0,0.0
982.123,226,0.0,0.0,0.0
982.177,226,0.0,0.0,0.0
982.231,225,0.0,0.0,0.0
982.2850000000001,225,0.0,0.0,0.0
982.3380000000001,225,0.0,0.0,0.0
982.392,226,0.0,0.0,0.0
982.446,227,0.0,0.0,0.0
982.5,226,0.0,0.0,0.0
982.553,226,0.0,0.0,0.0
982.6070000000001,226,0.0,0.0,0.0
982.6610000000001,225,0.0,0.0,0.0
982.715,226,0.0,0.0,0.0
982.768,225,0.0,0.0,0.0
982.822,225,0.0,0.0,0.0
982.8760000000001,226,0.0,0.0,0.0
982.9300000000001,226,0.0,0.0,0.0
982.9830000000001,226,0.0,0.0,0.0
983.037,225,0.0,0.0,0.0
983.091,226,0.0,0.0,0.0
983.1450000000001,226,0.0,0.0,0.0
983.1980000000001,226,0.0,0.0,0.0
983.2520000000001,225,0.0,0.0,0.0
983.306,225,0.0,0.0,0.0
983.36,225,0.0,0.0,0.0
983.413,225,0.0,0.0,0.0
983.4670000000001,226,0.0,0.0,0.0
983.5210000000001,226,0.0,0.0,0.0
983.575,226,0.0,0.0,0.0
983.629,226,0.0,0.0,0.0
983.682,226,0.0,0.0,0.0
983.736,226,0.0,0.0,0.0
983.7900000000001,225,0.0,0.0,0.0
983.844,226,0.0,0.0,0.0
983.897,225,0.0,0.0,0.0
983.951,226,0.0,0.0,0.0
984.005,225,0.0,0.0,0.0
984.0590000000001,226,0.0,0.0,0.0
984.1120000000001,225,0.0,0.0,0.0
984.22,226,0.0,0.0,0.0
984.274,226,0.0,0.0,0.0
984.327,226,0.0,0.0,0.0
984.3810000000001,225,0.0,0.0,0.0
984.4350000000001,225,0.0,0.0,0.0
984.489,226,0.0,0.0,0.0
984.542,225,0.0,0.0,0.0
984.596,226,0.0,0.0,0.0
984.6500000000001,225,0.0,0.0,0.0
984.7040000000001,226,0.0,0.0,0.0
984.758,226,0.0,0.0,0.0
984.811,227,0.0,0.0,0.0
984.865,226,0.0,0.0,0.0
984.9190000000001,226,0.0,0.0,0.0
984.9730000000001,225,0.0,0.0,0.0
985.0260000000001,225,0.0,0.0,0.0
985.08,226,0.0,0.0,0.0
985.134,225,0.0,0.0,0.0
